Company Name,Number of Transactions,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
10% Nabil Debenture 2082,2,915.10,915.00,915.00,325.00,297380.00,930.00,-15.00 
10% Sunrise Debenture 2080,1,930.10,930.10,930.10,25.00,23252.50,940.00,-9.90 
10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,2,933.00,932.00,932.00,550.00,512900.00,940.00,-8.00 
12 % Goodwill Finance Limited Debenture 2083,1,1010.00,1010.00,1010.00,200.00,202000.00,1015.00,-5.00 
12% ICFC Finance Limited Debenture 2083,2,1011.00,1010.00,1010.00,160.00,161616.00,1018.00,-8.00 
8.5% BOK Debenture 2086,1,762.00,762.00,762.00,25.00,19050.00,775.20,-13.20 
8.75 % Prime Debenture 2085,1,800.00,800.00,800.00,561.00,448800.00,791.20,8.80 
9% NIC Asia Debenture 2081/82,1,935.00,935.00,935.00,50.00,46750.00,929.90,5.10 
9.5% Manjushree Finance Limited Debenture 2085,1,850.00,850.00,850.00,25.00,21250.00,848.00,2.00 
Aarambha Chautari Laghubitta Bittiya Sanstha Limited,41,891.00,865.00,870.00,897.00,787283.00,875.00,-5.00 
Adarsha Laghubitta Bittiya Sanstha Limited,2,267.10,267.10,267.10,10.00,2723.00,267.10,0.00 
Agricultural Development Bank Limited,187,322.90,318.00,319.90,14796.00,4740123.90,319.00,0.90 
Ankhu Khola Jalvidhyut Company Ltd,263,221.30,210.00,211.00,61947.00,13300340.80,215.00,-4.00 
Api Power Company Ltd.,759,269.00,258.10,258.10,116521.00,30517917.20,266.00,-7.90 
Arun Kabeli Power Ltd.,508,453.90,438.00,438.10,76863.00,34249677.20,445.00,-6.90 
Arun Valley Hydropower Development Co. Ltd.,404,364.90,349.10,350.00,86411.00,30842241.90,360.00,-10.00 
Asha Laghubitta Bittiya Sanstha Ltd,46,1221.00,1171.10,1183.00,2638.00,3143987.90,1210.00,-27.00 
Asian Life Insurance Co. Limited,151,608.00,592.00,598.00,18602.00,11155224.20,600.00,-2.00 
Balephi Hydropower Limited,264,346.80,334.00,334.10,11647.00,3913598.00,340.00,-5.90 
Barun Hydropower Co. Ltd.,95,284.00,278.10,284.00,6822.00,1914960.90,281.00,3.00 
Best Finance Company Ltd.,153,405.00,390.00,391.00,18966.00,7542844.80,396.00,-5.00 
Bindhyabasini Hydropower Development Company Limited,651,499.00,468.00,468.00,18162.00,8653948.50,477.00,-9.00 
Bishal Bazar Company Limited,8,3720.00,3673.00,3720.00,80.00,296569.00,3680.00,40.00 
Bottlers Nepal (Terai) Limited,37,14644.00,13901.00,13901.00,500.00,7078094.00,13800.00,101.00 
Buddha Bhumi Nepal Hydropower Company Limited,179,442.90,401.80,402.00,9503.00,3947890.50,434.90,-32.90 
Butwal Power Company Limited,118,342.50,330.00,331.30,11863.00,3968163.10,338.00,-6.70 
CEDB Hydropower Development Company Limited,133,784.00,758.00,774.90,9996.00,7680268.30,775.00,-0.10 
Central Finance Co. Ltd.,123,348.00,329.00,334.90,12132.00,4122190.60,340.00,-5.10 
Chandragiri Hills Limited,57,1081.20,1046.10,1046.10,2100.00,2215481.00,1060.00,-13.90 
Chhimek Laghubitta Bittiya Sanstha Limited,213,1050.00,1025.00,1029.00,9911.00,10239472.60,1030.00,-1.00 
Chhyangdi Hydropower Ltd.,98,295.00,270.00,271.00,15257.00,4226529.80,284.00,-13.00 
Chilime Hydropower Company Limited,107,409.00,399.00,399.00,11577.00,4649412.10,402.90,-3.90 
Citizen Investment Trust,587,2299.00,2190.00,2192.00,17167.00,38119010.30,2254.00,-62.00 
Citizens Bank International Limited,223,204.10,199.90,201.00,36396.00,7304479.50,200.10,0.90 
Citizens Mutual Fund -1,25,8.49,8.01,8.49,32700.00,266633.00,8.33,0.16 
CITIZENS MUTUAL FUND 2,6,8.75,8.53,8.53,8950.00,78081.00,8.87,-0.34 
Civil Bank Debenture 2088,2,881.00,880.20,881.00,55.00,48431.00,880.00,1.00 
Civil Laghubitta Bittiya Sanstha Ltd.,55,954.00,930.00,935.00,3255.00,3052036.90,955.00,-20.00 
Corporate Development Bank Limited,44,319.20,307.00,310.00,5587.00,1753511.90,313.00,-3.00 
Deprosc Laghubitta Bittiya Sanstha Limited,104,990.00,966.10,966.10,7790.00,7625524.50,980.00,-13.90 
Dibyashwori Hydropower Ltd.,63,225.00,213.30,214.00,5340.00,1164976.50,222.00,-8.00 
Dordi Khola Jal Bidyut Company Limited,740,374.00,334.00,353.00,37128.00,13250829.50,340.00,13.00 
Emerging Nepal Limited,55,727.90,688.00,690.00,2732.00,1896168.60,700.00,-10.00 
Everest Bank Limited,180,505.90,497.00,499.90,24378.00,12171747.80,501.20,-1.30 
Excel Development Bank Ltd.,98,366.00,345.00,349.90,10493.00,3699440.30,359.00,-9.10 
First Micro Finance Laghubitta Bittiya Sanstha Limited,74,714.00,699.00,699.90,6586.00,4633105.50,701.10,-1.20 
Forward Microfinance Laghubitta Bittiya Sanstha Limited,267,2703.00,2655.00,2665.00,10897.00,29180362.40,2662.00,3.00 
Ganapati Laghubitta Bittiya Sanstha Limited,15,963.90,935.00,935.00,366.00,345334.00,945.00,-10.00 
Garima Bikas Bank Limited,247,404.00,391.10,393.70,27359.00,10877855.90,400.00,-6.30 
Ghalemdi Hydro Limited,183,240.00,222.00,224.50,26814.00,6123879.00,233.00,-8.50 
Global IME Bank Limited Debenture 2086/87,2,760.00,759.20,759.20,25.00,18988.00,760.50,-1.30 
Global IME Laghubitta Bittiya Sanstha Ltd.,63,1336.00,1288.70,1305.00,2604.00,3380294.70,1310.10,-5.10 
Global IME Samunnat Scheme-1,8,9.82,9.50,9.82,10900.00,104258.50,9.65,0.17 
Goodwill Finance Limited,160,571.20,537.00,538.00,22051.00,12011815.60,560.00,-22.00 
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,71,791.00,751.00,765.90,4514.00,3452990.50,775.90,-10.00 
Green Development Bank Ltd.,55,274.90,254.80,255.00,6461.00,1694317.70,265.20,-10.20 
Green Ventures Limited,474,392.00,375.00,379.90,44741.00,17201597.70,378.30,1.60 
GreenLife Hydropower Limited,87,344.30,313.60,315.00,4351.00,1386985.20,320.00,-5.00 
Guheshowori Merchant Bank & Finance Co. Ltd.,78,367.20,350.20,356.00,17066.00,6083605.80,357.00,-1.00 
Gurans Laghubitta Bittiya Sanstha Limited,25,1190.00,1123.00,1156.00,942.00,1085721.78,1145.00,11.00 
Gurkhas Finance Ltd.,419,624.00,560.00,571.00,67318.00,39465196.60,590.00,-19.00 
Himal Dolakha Hydropower Company Limited,300,230.00,224.00,227.00,55737.00,12710607.50,225.00,2.00 
Himalaya Urja Bikas Company Limited,89,280.50,260.00,264.00,13958.00,3735730.00,275.00,-11.00 
Himalayan Bank Limited,175,331.00,320.00,323.00,13132.00,4271226.80,330.00,-7.00 
Himalayan Distillery Limited,417,3808.00,3752.00,3755.00,16227.00,61215192.30,3751.00,4.00 
